Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
15.39,2,0.7904251579575731117027322451,0.793600737665594,0.793600737665594,0.791389049932854,0.791389049932854,0.0495207028474039,0.0771868025004966411031965447,0.0673729251078007711031965447,0.00981387739269587,2.4581631447271406174056789182,2.7978008077359866700666479743,3.6027210862415597022073711245,191240100
15.40,2,0.7904136723440967193106942915,0.793589213068786,0.793589213068786,0.79137755031313,0.79137755031313,0.049520188323911,0.0771858860878092433552148322,0.0673686405391326033552148322,0.00981724554867664,2.4579219119848239027932551302,2.7980904550597335804719302275,3.602359803505882153068718673,191364400
15.41,2,0.7904023989237636394452343593,0.793577901107989,0.793577901107989,0.79136626314531,0.79136626314531,0.0495196753641868,0.0771849786588276557139541297,0.0673643610296999057139541297,0.00982061762912775,2.4576810682706290015938235046,2.7983795832035324607623765905,3.601998278594624944748997141,191488600
15.42,2,0.7903910384632200466880924416,0.793566502393721,0.793566502393721,0.791354888831138,0.791354888831138,0.0495191751762501,0.0771840809662009925582917279,0.0673600873321518325582917279,0.00982399363404916,2.4574406347284315238965426495,2.7986699262313207599647028443,3.6016380637238649618312822272,191612900
15.43,2,0.7903797915781713263500605146,0.793555217637758,0.793555217637758,0.791343628230961,0.791343628230961,0.0495186799995557,0.0771831922588512949019956320,0.0673558186954103749019956320,0.00982737356344092,2.4572005894235056741647574921,2.7989606225777777264379654817,3.6012783900308057546967804232,191737200
15.44,2,0.7903684578824720146775274343,0.793543846358081,0.793543846358081,0.791332280714271,0.791332280714271,0.0495181975882662,0.0771823132894960740306213103,0.0673515558721931040306213103,0.00983075741730297,2.4569609535016927920704175182,2.7992516607209799486271895937,3.6009192392936173429825863557,191861400
15.45,2,0.7903572371455495463774200184,0.79353258841967,0.79353258841967,0.791321046294107,0.791321046294107,0.0495177202113327,0.0771814433069833189976522085,0.0673472981113480089976522085,0.00983414519563531,2.4567217050261413524940767783,2.799543051915233503374383667,3.6005606278522231664881118371,191985700
15.46,2,0.7903460295954584183830622399,0.793521343989792,0.793521343989792,0.791309825076856,0.791309825076856,0.0495172513557385,0.0771805823120598216570915010,0.0673430454136217416570915010,0.00983753689843808,2.4564828436003141275033824785,2.799835668569949747827129421,3.6002033401298240212463437268,192109900
15.47,2,0.7903347340034731955042467655,0.793510011804288,0.793510011804288,0.791298515710346,0.791298515710346,0.0495167953109864,0.0771797310575473039837639171,0.0673387985318362439837639171,0.00984093252571106,2.456244390373048186353074987,2.8001286265181910208980692703,3.599846572587699334095111729,192234200
15.48,2,0.7903234509829947666030137226,0.793498692511672,0.793498692511672,0.791287218930674,0.791287218930674,0.049516347810633,0.0771788887921836002224268607,0.0673345567147292002224268607,0.0098443320774544,2.4560063234043277067366151903,2.8004210645802342182882561275,3.5994895561455835349619709962,192358500
